Date,Price,Open,High,Low,Vol.,Change %
2019-01-01,1282.62,"1,283.13","1,283.24","1,282.62",,-0.02%
2019-01-02,1284.77,"1,281.62","1,288.69","1,278.33",,0.17%
2019-01-03,1293.99,"1,285.12","1,295.27","1,284.16",,0.72%
2019-01-04,1284.92,"1,294.06","1,298.51","1,276.49",,-0.70%
2019-01-07,1288.67,"1,285.78","1,295.14","1,282.29",,0.29%
2019-01-08,1285.35,"1,289.13","1,290.69","1,279.20",,-0.26%
2019-01-09,1293.13,"1,285.36","1,293.95","1,279.63",,0.61%
2019-01-10,1286.38,"1,293.11","1,297.14","1,285.81",,-0.52%
2019-01-11,1288.0,"1,286.72","1,295.65","1,286.25",,0.13%
2019-01-14,1291.73,"1,287.16","1,295.90","1,287.16",,0.29%
2019-01-15,1289.31,"1,291.76","1,294.70","1,286.37",,-0.19%
2019-01-16,1293.52,"1,289.13","1,295.02","1,287.59",,0.33%
2019-01-17,1291.9,"1,293.99","1,295.84","1,288.96",,-0.13%
2019-01-18,1281.49,"1,292.18","1,292.86","1,280.64",,-0.81%
2019-01-21,1280.28,"1,281.75","1,284.29","1,277.06",,-0.09%
2019-01-22,1285.04,"1,279.73","1,285.84","1,277.25",,0.37%
2019-01-23,1282.39,"1,285.34","1,286.92","1,278.38",,-0.21%
2019-01-24,1280.94,"1,282.74","1,285.15","1,276.97",,-0.11%
2019-01-25,1303.22,"1,280.94","1,303.69","1,279.39",,1.74%
2019-01-28,1303.53,"1,303.49","1,304.49","1,297.26",,0.02%
2019-01-29,1311.93,"1,303.53","1,312.05","1,302.12",,0.64%
2019-01-30,1319.91,"1,312.27","1,323.74","1,308.81",,0.61%
2019-01-31,1320.94,"1,320.18","1,326.68","1,317.55",,0.08%
2019-02-01,1318.0,"1,320.95","1,323.58","1,315.66",,-0.22%
2019-02-04,1311.75,"1,317.55","1,318.80","1,308.26",,-0.47%
2019-02-05,1315.01,"1,311.75","1,316.86","1,310.30",,0.25%
2019-02-06,1306.22,"1,315.03","1,315.88","1,305.38",,-0.67%
2019-02-07,1310.09,"1,305.87","1,311.99","1,302.17",,0.30%
2019-02-08,1314.07,"1,310.14","1,315.72","1,307.23",,0.30%
2019-02-11,1308.33,"1,314.22","1,314.88","1,303.58",,-0.44%
2019-02-12,1310.89,"1,308.55","1,315.12","1,306.64",,0.20%
2019-02-13,1306.19,"1,310.88","1,318.19","1,304.50",,-0.36%
2019-02-14,1312.55,"1,306.16","1,314.43","1,302.63",,0.49%
2019-02-15,1321.41,"1,312.98","1,322.98","1,311.16",,0.68%
2019-02-18,1326.9,"1,321.95","1,328.39","1,321.11",,0.42%
2019-02-19,1341.16,"1,325.90","1,341.87","1,322.33",,1.07%
2019-02-20,1338.49,"1,341.25","1,346.81","1,336.63",,-0.20%
2019-02-21,1323.49,"1,338.89","1,341.88","1,322.24",,-1.12%
2019-02-22,1327.8,"1,323.52","1,333.17","1,321.16",,0.33%
2019-02-25,1327.12,"1,328.57","1,332.59","1,325.03",,-0.05%
2019-02-26,1328.96,"1,327.44","1,330.59","1,323.61",,0.14%
2019-02-27,1319.88,"1,328.91","1,329.63","1,316.51",,-0.68%
2019-02-28,1313.05,"1,320.18","1,327.42","1,312.54",,-0.52%
2019-03-01,1293.56,"1,312.81","1,315.33","1,290.16",,-1.48%
2019-03-04,1286.66,"1,293.62","1,297.11","1,282.75",,-0.53%
2019-03-05,1287.43,"1,286.67","1,289.75","1,280.95",,0.06%
2019-03-06,1286.76,"1,287.62","1,291.07","1,283.45",,-0.05%
2019-03-07,1285.74,"1,286.71","1,289.06","1,281.16",,-0.08%
2019-03-08,1298.39,"1,285.91","1,300.99","1,285.29",,0.98%
2019-03-11,1294.25,"1,298.70","1,299.27","1,290.15",,-0.32%
2019-03-12,1302.01,"1,293.71","1,302.19","1,292.06",,0.60%
2019-03-13,1309.28,"1,302.01","1,311.33","1,300.56",,0.56%
2019-03-14,1296.28,"1,309.61","1,310.46","1,292.75",,-0.99%
2019-03-15,1301.38,"1,295.74","1,306.58","1,293.66",,0.39%
2019-03-18,1303.7,"1,301.64","1,306.78","1,298.12",,0.18%
2019-03-19,1306.55,"1,303.45","1,311.07","1,302.45",,0.22%
2019-03-20,1312.48,"1,305.61","1,316.83","1,298.50",,0.45%
2019-03-21,1309.45,"1,312.64","1,320.47","1,303.25",,-0.23%
2019-03-22,1313.38,"1,309.14","1,315.08","1,306.81",,0.30%
2019-03-25,1321.9,"1,313.05","1,324.43","1,310.80",,0.65%
2019-03-26,1315.51,"1,321.51","1,323.24","1,312.51",,-0.48%
2019-03-27,1309.87,"1,315.81","1,319.57","1,308.07",,-0.43%
2019-03-28,1290.55,"1,309.85","1,312.63","1,288.70",,-1.47%
2019-03-29,1292.15,"1,290.14","1,299.82","1,286.60",,0.12%
2019-04-01,1287.66,"1,291.33","1,297.04","1,286.50",,-0.35%
2019-04-02,1293.15,"1,287.55","1,293.15","1,285.16",,0.43%
2019-04-03,1289.9,"1,292.21","1,294.67","1,288.20",,-0.25%
2019-04-04,1292.38,"1,289.95","1,294.36","1,280.84",,0.19%
2019-04-05,1291.7,"1,292.46","1,293.77","1,284.46",,-0.05%
2019-04-08,1297.41,"1,291.65","1,303.86","1,291.35",,0.44%
2019-04-09,1304.13,"1,297.24","1,306.34","1,296.55",,0.52%
2019-04-10,1308.05,"1,303.96","1,310.75","1,300.89",,0.30%
2019-04-11,1292.6,"1,307.95","1,309.36","1,289.45",,-1.18%
2019-04-12,1290.4,"1,292.30","1,296.05","1,290.11",,-0.17%
2019-04-15,1287.88,"1,290.45","1,292.01","1,282.21",,-0.20%
2019-04-16,1276.57,"1,287.91","1,289.00","1,273.10",,-0.88%
2019-04-17,1274.14,"1,276.86","1,280.06","1,272.93",,-0.19%
2019-04-18,1275.39,"1,273.38","1,277.95","1,271.02",,0.10%
2019-04-22,1274.92,"1,275.83","1,279.96","1,273.45",,-0.04%
2019-04-23,1272.4,"1,275.26","1,276.66","1,266.15",,-0.20%
2019-04-24,1275.36,"1,272.31","1,278.74","1,268.55",,0.23%
